name,country,patents
Shunpei Yamazaki,JP,6787
Kia Silverbrook,AU,4778
Tao Luo,US,4490
Jonathan P. Ive,US,2947
Junyi Li,US,2881
Kangguo Cheng,US,2835
"Frederick E. Shelton, IV",US,2723
Peter Gaal,US,2554
Duncan Robert Kerr,US,2534
Bartley K. Andre,US,2478
Richard P. Howarth,US,2402
Wanshi Chen,US,2342
Eugene Antony Whang,US,2248
Xiaoxia Zhang,US,2158
Peter Russell-Clarke,US,2012
Rico Zörkendörfer,US,1993
Chen-Hua Yu,TW,1981
"Lowell L. Wood, JR.",US,1974
Christopher J. Stringer,US,1918
Esmael Hejazi Dinan,US,1915
